analysis_set,dataset,endpoint_class,test_row_index,multiplicity
archived_matches,CHEMBL214_Ki,cliff,510,1
archived_matches,CHEMBL214_Ki,cliff,512,2
archived_matches,CHEMBL214_Ki,cliff,513,1
archived_matches,CHEMBL214_Ki,cliff,516,2
archived_matches,CHEMBL214_Ki,cliff,520,2
archived_matches,CHEMBL214_Ki,cliff,521,4
archived_matches,CHEMBL214_Ki,cliff,522,3
archived_matches,CHEMBL214_Ki,cliff,523,4
archived_matches,CHEMBL214_Ki,cliff,524,3
archived_matches,CHEMBL214_Ki,cliff,526,1
archived_matches,CHEMBL214_Ki,cliff,527,4
archived_matches,CHEMBL214_Ki,cliff,531,1
archived_matches,CHEMBL214_Ki,cliff,532,1
archived_matches,CHEMBL214_Ki,cliff,533,1
archived_matches,CHEMBL214_Ki,cliff,534,1
archived_matches,CHEMBL214_Ki,cliff,535,1
archived_matches,CHEMBL214_Ki,cliff,538,2
archived_matches,CHEMBL214_Ki,cliff,539,1
archived_matches,CHEMBL214_Ki,cliff,540,1
archived_matches,CHEMBL214_Ki,cliff,543,1
archived_matches,CHEMBL214_Ki,cliff,551,1
archived_matches,CHEMBL214_Ki,cliff,552,3
archived_matches,CHEMBL214_Ki,cliff,556,1
archived_matches,CHEMBL214_Ki,cliff,565,1
archived_matches,CHEMBL214_Ki,cliff,566,1
archived_matches,CHEMBL214_Ki,cliff,568,1
archived_matches,CHEMBL214_Ki,cliff,570,4
archived_matches,CHEMBL214_Ki,cliff,575,3
archived_matches,CHEMBL214_Ki,cliff,576,1
archived_matches,CHEMBL214_Ki,cliff,578,1
archived_matches,CHEMBL214_Ki,cliff,581,1
archived_matches,CHEMBL214_Ki,cliff,582,1
archived_matches,CHEMBL214_Ki,cliff,583,3
archived_matches,CHEMBL214_Ki,cliff,596,1
archived_matches,CHEMBL214_Ki,cliff,597,1
archived_matches,CHEMBL214_Ki,cliff,612,1
archived_matches,CHEMBL214_Ki,noncliff,7,1
archived_matches,CHEMBL214_Ki,noncliff,8,4
archived_matches,CHEMBL214_Ki,noncliff,9,1
archived_matches,CHEMBL214_Ki,noncliff,10,2
archived_matches,CHEMBL214_Ki,noncliff,20,1
archived_matches,CHEMBL214_Ki,noncliff,21,2
archived_matches,CHEMBL214_Ki,noncliff,22,2
archived_matches,CHEMBL214_Ki,noncliff,31,1
archived_matches,CHEMBL214_Ki,noncliff,35,1
archived_matches,CHEMBL214_Ki,noncliff,37,1
archived_matches,CHEMBL214_Ki,noncliff,54,6
archived_matches,CHEMBL214_Ki,noncliff,57,1
archived_matches,CHEMBL214_Ki,noncliff,58,3
archived_matches,CHEMBL214_Ki,noncliff,59,2
archived_matches,CHEMBL214_Ki,noncliff,60,2
archived_matches,CHEMBL214_Ki,noncliff,62,6
archived_matches,CHEMBL214_Ki,noncliff,63,5
archived_matches,CHEMBL214_Ki,noncliff,64,5
archived_matches,CHEMBL214_Ki,noncliff,65,2
archived_matches,CHEMBL214_Ki,noncliff,68,3
archived_matches,CHEMBL214_Ki,noncliff,70,2
archived_matches,CHEMBL214_Ki,noncliff,71,2
archived_matches,CHEMBL214_Ki,noncliff,72,1
archived_matches,CHEMBL214_Ki,noncliff,77,1
archived_matches,CHEMBL214_Ki,noncliff,79,1
archived_matches,CHEMBL214_Ki,noncliff,82,1
archived_matches,CHEMBL214_Ki,noncliff,83,3
archived_matches,CHEMBL214_Ki,noncliff,84,3
archived_matches,CHEMBL214_Ki,noncliff,85,5
archived_matches,CHEMBL214_Ki,noncliff,86,1
archived_matches,CHEMBL214_Ki,noncliff,88,5
archived_matches,CHEMBL214_Ki,noncliff,89,1
archived_matches,CHEMBL214_Ki,noncliff,91,4
archived_matches,CHEMBL214_Ki,noncliff,92,1
archived_matches,CHEMBL214_Ki,noncliff,94,1
archived_matches,CHEMBL214_Ki,noncliff,107,1
archived_matches,CHEMBL214_Ki,noncliff,125,1
archived_matches,CHEMBL214_Ki,noncliff,127,1
archived_matches,CHEMBL214_Ki,noncliff,129,1
archived_matches,CHEMBL214_Ki,noncliff,134,1
archived_matches,CHEMBL214_Ki,noncliff,135,2
archived_matches,CHEMBL214_Ki,noncliff,136,1
archived_matches,CHEMBL214_Ki,noncliff,137,2
archived_matches,CHEMBL214_Ki,noncliff,138,2
archived_matches,CHEMBL214_Ki,noncliff,140,1
archived_matches,CHEMBL214_Ki,noncliff,142,1
archived_matches,CHEMBL214_Ki,noncliff,146,1
archived_matches,CHEMBL214_Ki,noncliff,148,1
archived_matches,CHEMBL214_Ki,noncliff,156,1
archived_matches,CHEMBL214_Ki,noncliff,163,1
archived_matches,CHEMBL214_Ki,noncliff,166,1
archived_matches,CHEMBL214_Ki,noncliff,169,1
archived_matches,CHEMBL214_Ki,noncliff,170,1
archived_matches,CHEMBL214_Ki,noncliff,171,1
archived_matches,CHEMBL214_Ki,noncliff,173,2
archived_matches,CHEMBL214_Ki,noncliff,174,2
archived_matches,CHEMBL214_Ki,noncliff,194,2
archived_matches,CHEMBL214_Ki,noncliff,201,1
archived_matches,CHEMBL214_Ki,noncliff,203,1
archived_matches,CHEMBL214_Ki,noncliff,211,3
archived_matches,CHEMBL214_Ki,noncliff,241,1
archived_matches,CHEMBL214_Ki,noncliff,242,2
archived_matches,CHEMBL214_Ki,noncliff,243,3
archived_matches,CHEMBL214_Ki,noncliff,244,2
archived_matches,CHEMBL214_Ki,noncliff,245,4
archived_matches,CHEMBL214_Ki,noncliff,246,2
archived_matches,CHEMBL214_Ki,noncliff,263,2
archived_matches,CHEMBL214_Ki,noncliff,266,1
archived_matches,CHEMBL214_Ki,noncliff,314,1
archived_matches,CHEMBL214_Ki,noncliff,319,1
archived_matches,CHEMBL214_Ki,noncliff,320,1
archived_matches,CHEMBL214_Ki,noncliff,321,1
archived_matches,CHEMBL214_Ki,noncliff,326,2
archived_matches,CHEMBL214_Ki,noncliff,348,1
archived_matches,CHEMBL214_Ki,noncliff,354,3
archived_matches,CHEMBL214_Ki,noncliff,355,2
archived_matches,CHEMBL214_Ki,noncliff,361,1
archived_matches,CHEMBL214_Ki,noncliff,367,1
archived_matches,CHEMBL214_Ki,noncliff,368,1
archived_matches,CHEMBL214_Ki,noncliff,369,2
archived_matches,CHEMBL214_Ki,noncliff,370,3
archived_matches,CHEMBL214_Ki,noncliff,371,1
archived_matches,CHEMBL214_Ki,noncliff,372,1
archived_matches,CHEMBL214_Ki,noncliff,375,1
archived_matches,CHEMBL214_Ki,noncliff,376,1
archived_matches,CHEMBL214_Ki,noncliff,379,1
archived_matches,CHEMBL214_Ki,noncliff,381,1
archived_matches,CHEMBL214_Ki,noncliff,389,1
archived_matches,CHEMBL214_Ki,noncliff,390,1
archived_matches,CHEMBL214_Ki,noncliff,399,1
archived_matches,CHEMBL214_Ki,noncliff,400,1
archived_matches,CHEMBL214_Ki,noncliff,403,1
archived_matches,CHEMBL214_Ki,noncliff,405,1
archived_matches,CHEMBL214_Ki,noncliff,407,1
archived_matches,CHEMBL214_Ki,noncliff,408,1
archived_matches,CHEMBL214_Ki,noncliff,420,1
archived_matches,CHEMBL214_Ki,noncliff,424,2
archived_matches,CHEMBL214_Ki,noncliff,425,1
archived_matches,CHEMBL214_Ki,noncliff,426,1
archived_matches,CHEMBL214_Ki,noncliff,427,1
archived_matches,CHEMBL214_Ki,noncliff,430,2
archived_matches,CHEMBL214_Ki,noncliff,432,1
archived_matches,CHEMBL214_Ki,noncliff,434,1
archived_matches,CHEMBL214_Ki,noncliff,436,1
archived_matches,CHEMBL214_Ki,noncliff,437,2
archived_matches,CHEMBL214_Ki,noncliff,439,1
archived_matches,CHEMBL214_Ki,noncliff,442,2
archived_matches,CHEMBL214_Ki,noncliff,443,1
archived_matches,CHEMBL214_Ki,noncliff,444,1
archived_matches,CHEMBL214_Ki,noncliff,463,1
archived_matches,CHEMBL214_Ki,noncliff,467,1
archived_matches,CHEMBL214_Ki,noncliff,468,1
archived_matches,CHEMBL214_Ki,noncliff,472,1
archived_matches,CHEMBL214_Ki,noncliff,473,1
archived_matches,CHEMBL214_Ki,noncliff,497,3
archived_matches,CHEMBL214_Ki,noncliff,498,2
archived_matches,CHEMBL214_Ki,noncliff,499,1
archived_matches,CHEMBL214_Ki,noncliff,501,1
archived_matches,CHEMBL214_Ki,noncliff,506,1
archived_matches,CHEMBL214_Ki,noncliff,507,1
archived_matches,CHEMBL214_Ki,noncliff,510,1
archived_matches,CHEMBL214_Ki,noncliff,515,1
archived_matches,CHEMBL214_Ki,noncliff,516,1
archived_matches,CHEMBL214_Ki,noncliff,522,2
archived_matches,CHEMBL214_Ki,noncliff,523,2
archived_matches,CHEMBL214_Ki,noncliff,524,3
archived_matches,CHEMBL214_Ki,noncliff,525,4
archived_matches,CHEMBL214_Ki,noncliff,526,2
archived_matches,CHEMBL214_Ki,noncliff,527,4
archived_matches,CHEMBL214_Ki,noncliff,528,1
archived_matches,CHEMBL214_Ki,noncliff,529,1
archived_matches,CHEMBL214_Ki,noncliff,531,1
archived_matches,CHEMBL214_Ki,noncliff,532,3
archived_matches,CHEMBL214_Ki,noncliff,533,3
archived_matches,CHEMBL214_Ki,noncliff,534,1
archived_matches,CHEMBL214_Ki,noncliff,537,1
archived_matches,CHEMBL214_Ki,noncliff,538,1
archived_matches,CHEMBL214_Ki,noncliff,539,3
archived_matches,CHEMBL214_Ki,noncliff,540,1
archived_matches,CHEMBL214_Ki,noncliff,542,2
archived_matches,CHEMBL214_Ki,noncliff,543,1
archived_matches,CHEMBL214_Ki,noncliff,545,2
archived_matches,CHEMBL214_Ki,noncliff,547,2
archived_matches,CHEMBL214_Ki,noncliff,549,1
archived_matches,CHEMBL214_Ki,noncliff,550,1
archived_matches,CHEMBL214_Ki,noncliff,551,1
archived_matches,CHEMBL214_Ki,noncliff,553,1
archived_matches,CHEMBL214_Ki,noncliff,554,1
archived_matches,CHEMBL214_Ki,noncliff,555,1
archived_matches,CHEMBL214_Ki,noncliff,557,2
archived_matches,CHEMBL214_Ki,noncliff,565,2
archived_matches,CHEMBL214_Ki,noncliff,566,2
archived_matches,CHEMBL214_Ki,noncliff,567,2
archived_matches,CHEMBL214_Ki,noncliff,568,1
archived_matches,CHEMBL214_Ki,noncliff,570,1
archived_matches,CHEMBL214_Ki,noncliff,574,1
archived_matches,CHEMBL214_Ki,noncliff,576,1
archived_matches,CHEMBL214_Ki,noncliff,578,4
archived_matches,CHEMBL214_Ki,noncliff,581,1
archived_matches,CHEMBL214_Ki,noncliff,612,1
fixed_endpoint_disjoint,CHEMBL214_Ki,cliff,33,1
fixed_endpoint_disjoint,CHEMBL214_Ki,cliff,34,1
fixed_endpoint_disjoint,CHEMBL214_Ki,cliff,38,2
fixed_endpoint_disjoint,CHEMBL214_Ki,cliff,39,2
fixed_endpoint_disjoint,CHEMBL214_Ki,cliff,40,1
fixed_endpoint_disjoint,CHEMBL214_Ki,cliff,41,1
fixed_endpoint_disjoint,CHEMBL214_Ki,cliff,49,1
fixed_endpoint_disjoint,CHEMBL214_Ki,cliff,50,1
fixed_endpoint_disjoint,CHEMBL214_Ki,cliff,63,1
fixed_endpoint_disjoint,CHEMBL214_Ki,cliff,64,1
fixed_endpoint_disjoint,CHEMBL214_Ki,cliff,65,1
fixed_endpoint_disjoint,CHEMBL214_Ki,cliff,74,1
fixed_endpoint_disjoint,CHEMBL214_Ki,cliff,75,1
fixed_endpoint_disjoint,CHEMBL214_Ki,cliff,82,1
fixed_endpoint_disjoint,CHEMBL214_Ki,cliff,84,1
fixed_endpoint_disjoint,CHEMBL214_Ki,cliff,86,2
fixed_endpoint_disjoint,CHEMBL214_Ki,cliff,87,1
fixed_endpoint_disjoint,CHEMBL214_Ki,cliff,88,1
fixed_endpoint_disjoint,CHEMBL214_Ki,cliff,91,1
fixed_endpoint_disjoint,CHEMBL214_Ki,cliff,123,1
fixed_endpoint_disjoint,CHEMBL214_Ki,cliff,124,1
fixed_endpoint_disjoint,CHEMBL214_Ki,cliff,135,2
fixed_endpoint_disjoint,CHEMBL214_Ki,cliff,140,1
fixed_endpoint_disjoint,CHEMBL214_Ki,cliff,142,1
fixed_endpoint_disjoint,CHEMBL214_Ki,cliff,149,1
fixed_endpoint_disjoint,CHEMBL214_Ki,cliff,152,1
fixed_endpoint_disjoint,CHEMBL214_Ki,cliff,163,1
fixed_endpoint_disjoint,CHEMBL214_Ki,cliff,164,1
fixed_endpoint_disjoint,CHEMBL214_Ki,cliff,240,1
fixed_endpoint_disjoint,CHEMBL214_Ki,cliff,241,1
fixed_endpoint_disjoint,CHEMBL214_Ki,cliff,315,1
fixed_endpoint_disjoint,CHEMBL214_Ki,cliff,316,1
fixed_endpoint_disjoint,CHEMBL214_Ki,cliff,332,2
fixed_endpoint_disjoint,CHEMBL214_Ki,cliff,348,1
fixed_endpoint_disjoint,CHEMBL214_Ki,cliff,421,1
fixed_endpoint_disjoint,CHEMBL214_Ki,cliff,422,1
fixed_endpoint_disjoint,CHEMBL214_Ki,cliff,434,1
fixed_endpoint_disjoint,CHEMBL214_Ki,cliff,446,1
fixed_endpoint_disjoint,CHEMBL214_Ki,cliff,491,1
fixed_endpoint_disjoint,CHEMBL214_Ki,cliff,492,1
fixed_endpoint_disjoint,CHEMBL214_Ki,cliff,498,1
fixed_endpoint_disjoint,CHEMBL214_Ki,cliff,501,3
fixed_endpoint_disjoint,CHEMBL214_Ki,cliff,508,1
fixed_endpoint_disjoint,CHEMBL214_Ki,cliff,509,1
fixed_endpoint_disjoint,CHEMBL214_Ki,cliff,512,1
fixed_endpoint_disjoint,CHEMBL214_Ki,cliff,521,1
fixed_endpoint_disjoint,CHEMBL214_Ki,cliff,524,1
fixed_endpoint_disjoint,CHEMBL214_Ki,cliff,527,1
fixed_endpoint_disjoint,CHEMBL214_Ki,cliff,531,1
fixed_endpoint_disjoint,CHEMBL214_Ki,cliff,539,1
fixed_endpoint_disjoint,CHEMBL214_Ki,cliff,540,1
fixed_endpoint_disjoint,CHEMBL214_Ki,cliff,552,3
fixed_endpoint_disjoint,CHEMBL214_Ki,cliff,596,1
fixed_endpoint_disjoint,CHEMBL214_Ki,cliff,597,1
fixed_endpoint_disjoint,CHEMBL214_Ki,cliff,612,1
fixed_endpoint_disjoint,CHEMBL214_Ki,noncliff,35,1
fixed_endpoint_disjoint,CHEMBL214_Ki,noncliff,37,1
fixed_endpoint_disjoint,CHEMBL214_Ki,noncliff,57,1
fixed_endpoint_disjoint,CHEMBL214_Ki,noncliff,71,1
fixed_endpoint_disjoint,CHEMBL214_Ki,noncliff,72,1
fixed_endpoint_disjoint,CHEMBL214_Ki,noncliff,77,1
fixed_endpoint_disjoint,CHEMBL214_Ki,noncliff,79,1
fixed_endpoint_disjoint,CHEMBL214_Ki,noncliff,125,1
fixed_endpoint_disjoint,CHEMBL214_Ki,noncliff,127,1
fixed_endpoint_disjoint,CHEMBL214_Ki,noncliff,129,1
fixed_endpoint_disjoint,CHEMBL214_Ki,noncliff,134,1
fixed_endpoint_disjoint,CHEMBL214_Ki,noncliff,136,1
fixed_endpoint_disjoint,CHEMBL214_Ki,noncliff,146,1
fixed_endpoint_disjoint,CHEMBL214_Ki,noncliff,148,1
fixed_endpoint_disjoint,CHEMBL214_Ki,noncliff,156,1
fixed_endpoint_disjoint,CHEMBL214_Ki,noncliff,166,1
fixed_endpoint_disjoint,CHEMBL214_Ki,noncliff,169,1
fixed_endpoint_disjoint,CHEMBL214_Ki,noncliff,170,1
fixed_endpoint_disjoint,CHEMBL214_Ki,noncliff,171,1
fixed_endpoint_disjoint,CHEMBL214_Ki,noncliff,173,2
fixed_endpoint_disjoint,CHEMBL214_Ki,noncliff,174,2
fixed_endpoint_disjoint,CHEMBL214_Ki,noncliff,201,1
fixed_endpoint_disjoint,CHEMBL214_Ki,noncliff,203,1
fixed_endpoint_disjoint,CHEMBL214_Ki,noncliff,211,1
fixed_endpoint_disjoint,CHEMBL214_Ki,noncliff,263,1
fixed_endpoint_disjoint,CHEMBL214_Ki,noncliff,266,1
fixed_endpoint_disjoint,CHEMBL214_Ki,noncliff,314,1
fixed_endpoint_disjoint,CHEMBL214_Ki,noncliff,319,1
fixed_endpoint_disjoint,CHEMBL214_Ki,noncliff,320,1
fixed_endpoint_disjoint,CHEMBL214_Ki,noncliff,321,1
fixed_endpoint_disjoint,CHEMBL214_Ki,noncliff,354,1
fixed_endpoint_disjoint,CHEMBL214_Ki,noncliff,361,1
fixed_endpoint_disjoint,CHEMBL214_Ki,noncliff,367,1
fixed_endpoint_disjoint,CHEMBL214_Ki,noncliff,370,1
fixed_endpoint_disjoint,CHEMBL214_Ki,noncliff,379,1
fixed_endpoint_disjoint,CHEMBL214_Ki,noncliff,381,1
fixed_endpoint_disjoint,CHEMBL214_Ki,noncliff,389,1
fixed_endpoint_disjoint,CHEMBL214_Ki,noncliff,399,1
fixed_endpoint_disjoint,CHEMBL214_Ki,noncliff,400,1
fixed_endpoint_disjoint,CHEMBL214_Ki,noncliff,420,1
fixed_endpoint_disjoint,CHEMBL214_Ki,noncliff,424,1
fixed_endpoint_disjoint,CHEMBL214_Ki,noncliff,426,1
fixed_endpoint_disjoint,CHEMBL214_Ki,noncliff,430,2
fixed_endpoint_disjoint,CHEMBL214_Ki,noncliff,432,1
fixed_endpoint_disjoint,CHEMBL214_Ki,noncliff,443,1
fixed_endpoint_disjoint,CHEMBL214_Ki,noncliff,444,1
fixed_endpoint_disjoint,CHEMBL214_Ki,noncliff,463,1
fixed_endpoint_disjoint,CHEMBL214_Ki,noncliff,467,1
fixed_endpoint_disjoint,CHEMBL214_Ki,noncliff,468,1
fixed_endpoint_disjoint,CHEMBL214_Ki,noncliff,472,1
fixed_endpoint_disjoint,CHEMBL214_Ki,noncliff,473,1
fixed_endpoint_disjoint,CHEMBL214_Ki,noncliff,506,1
fixed_endpoint_disjoint,CHEMBL214_Ki,noncliff,507,1
fixed_endpoint_disjoint,CHEMBL214_Ki,noncliff,525,1
fixed_endpoint_disjoint,CHEMBL214_Ki,noncliff,528,1
fixed_endpoint_disjoint,CHEMBL214_Ki,noncliff,529,1
fixed_endpoint_disjoint,CHEMBL214_Ki,noncliff,545,1
fixed_endpoint_disjoint,CHEMBL214_Ki,noncliff,547,1
fixed_endpoint_disjoint,CHEMBL214_Ki,noncliff,549,1
fixed_endpoint_disjoint,CHEMBL214_Ki,noncliff,550,1
fixed_endpoint_disjoint,CHEMBL214_Ki,noncliff,554,1
archived_matches,CHEMBL235_EC50,cliff,5,1
archived_matches,CHEMBL235_EC50,cliff,11,3
archived_matches,CHEMBL235_EC50,cliff,36,1
archived_matches,CHEMBL235_EC50,cliff,49,1
archived_matches,CHEMBL235_EC50,cliff,77,3
archived_matches,CHEMBL235_EC50,cliff,79,1
archived_matches,CHEMBL235_EC50,cliff,80,1
archived_matches,CHEMBL235_EC50,cliff,81,1
archived_matches,CHEMBL235_EC50,cliff,103,4
archived_matches,CHEMBL235_EC50,cliff,104,1
archived_matches,CHEMBL235_EC50,cliff,105,1
archived_matches,CHEMBL235_EC50,cliff,107,2
archived_matches,CHEMBL235_EC50,cliff,108,2
archived_matches,CHEMBL235_EC50,cliff,109,2
archived_matches,CHEMBL235_EC50,cliff,110,1
archived_matches,CHEMBL235_EC50,cliff,118,1
archived_matches,CHEMBL235_EC50,cliff,119,2
archived_matches,CHEMBL235_EC50,cliff,120,1
archived_matches,CHEMBL235_EC50,cliff,122,3
archived_matches,CHEMBL235_EC50,cliff,124,4
archived_matches,CHEMBL235_EC50,cliff,125,5
archived_matches,CHEMBL235_EC50,cliff,127,4
archived_matches,CHEMBL235_EC50,cliff,128,2
archived_matches,CHEMBL235_EC50,cliff,130,1
archived_matches,CHEMBL235_EC50,cliff,131,1
archived_matches,CHEMBL235_EC50,cliff,132,1
archived_matches,CHEMBL235_EC50,cliff,133,1
archived_matches,CHEMBL235_EC50,cliff,134,3
archived_matches,CHEMBL235_EC50,cliff,135,3
archived_matches,CHEMBL235_EC50,cliff,154,1
archived_matches,CHEMBL235_EC50,cliff,156,1
archived_matches,CHEMBL235_EC50,cliff,158,1
archived_matches,CHEMBL235_EC50,cliff,159,1
archived_matches,CHEMBL235_EC50,cliff,160,2
archived_matches,CHEMBL235_EC50,cliff,163,2
archived_matches,CHEMBL235_EC50,cliff,170,1
archived_matches,CHEMBL235_EC50,cliff,171,1
archived_matches,CHEMBL235_EC50,cliff,172,2
archived_matches,CHEMBL235_EC50,cliff,174,2
archived_matches,CHEMBL235_EC50,cliff,175,1
archived_matches,CHEMBL235_EC50,cliff,176,2
archived_matches,CHEMBL235_EC50,cliff,177,2
archived_matches,CHEMBL235_EC50,cliff,179,1
archived_matches,CHEMBL235_EC50,cliff,180,2
archived_matches,CHEMBL235_EC50,cliff,181,2
archived_matches,CHEMBL235_EC50,cliff,187,1
archived_matches,CHEMBL235_EC50,cliff,188,1
archived_matches,CHEMBL235_EC50,cliff,189,4
archived_matches,CHEMBL235_EC50,cliff,190,1
archived_matches,CHEMBL235_EC50,cliff,191,2
archived_matches,CHEMBL235_EC50,cliff,192,4
archived_matches,CHEMBL235_EC50,cliff,195,3
archived_matches,CHEMBL235_EC50,cliff,197,4
archived_matches,CHEMBL235_EC50,cliff,199,1
archived_matches,CHEMBL235_EC50,cliff,200,3
archived_matches,CHEMBL235_EC50,cliff,203,1
archived_matches,CHEMBL235_EC50,cliff,211,1
archived_matches,CHEMBL235_EC50,cliff,227,1
archived_matches,CHEMBL235_EC50,cliff,235,1
archived_matches,CHEMBL235_EC50,cliff,238,2
archived_matches,CHEMBL235_EC50,cliff,257,1
archived_matches,CHEMBL235_EC50,cliff,258,1
archived_matches,CHEMBL235_EC50,cliff,259,1
archived_matches,CHEMBL235_EC50,cliff,260,1
archived_matches,CHEMBL235_EC50,cliff,261,2
archived_matches,CHEMBL235_EC50,cliff,262,2
archived_matches,CHEMBL235_EC50,cliff,266,1
archived_matches,CHEMBL235_EC50,cliff,268,2
archived_matches,CHEMBL235_EC50,cliff,269,1
archived_matches,CHEMBL235_EC50,cliff,279,2
archived_matches,CHEMBL235_EC50,cliff,280,1
